1	neg	During that time I was doing a lot of gaming/designing and the click issue showed up very quickly
1	neg	I am convinced this is a design flaw in the mouse itself
1	neg	I will not purchase another one of these
1	neg	The price is not worth it at all with the click issue
1	neg	To be clear, the click issue is that when you click or try to click and drag, the mouse either doesn't hold the click or double clicks
1	neg	However, this creates a lot of issues with gaming, graphic design and so much more when trying to work and renders the mouse almost useless because of productivity
2	neg	I will never buy a logitech product again
3	pos	The Logitech g502 was always a quality mouse and tons of people love the thing just based on the design and overall quality of the mouse
3	pos	The Pros of this mouse are fairly straightforward, and are as follows:- Comfortable shape for most right handed people, but should be more comfortable for people with medium to large size hands
3	pos	- Good build quality which easily places it in the same category as other 'premium' around this price point or even a bit higher
3	pos	-  Scroll wheel: this is one of my personal favorite features of the mouse
3	pos	Feels satisfying to use
3	pos	- Sensor: The Logitech Hero sensor has been tested numerous times and found to be roughly on par with the PMW3360 series sensors (including the 3366 on the original g502) while being advantageous for usage in wireless mice due to the lessened draw of power which allows for a longer battery life
3	neg	This thing is one of the heaviest mice I've used for an extended period of time
3	neg	- Not a truly "safe" shape, this may or may not matter to you, but I felt that it's worth mentioning
4	neg	Scroll wheel broke within the first week and now it freewheels like fidget spinner
5	pos	the laser and accuracy is the best ive touched ever
5	neg	i frequently hit extra buttons on the mouse and the thumb button makes me hold the entire mouse in a uncomfortable way
6	pos	The refreshed model has a really thick and flexible cord that was apparently a major weakness in the original 502
6	pos	Couple that with a really awesome sensor that is super accurate and sensitive to slightest movements and tracks on any surface (seriously I tried everything from a white paper to the palm of my hand) and you have a potential winner
6	pos	However, the best part of this mouse is not that or the the materials that they used which also feels really nice and durable
6	pos	The buttons themselves feel very satisfying to press thanks to the spring loaded mechanism
6	pos	this scrollwheel I can probably write a whole paragraph on how good it is
6	pos	Not only does it have the infinite mode that rolls beautifully but also its made from METAL
6	pos	Its a nice chunk of metal that is just better than a plastic one in every way
6	pos	I dont think I can go back to plastic mouse-wheels after using my G502
6	pos	You might never use the 16000DPI sensor but if you used G502 and similar mice in the past and are due for an upgrade the refresh 502 is totally worth the money Logitech is asking for
7	pos	) Improved braided cable over previous G502 model
7	pos	fits my hand fairly well
7	pos	) LIGHTSYNC added to this model is cool for custom rigs & lighting
7	pos	) Fully customizable RGB LED, you can set color, cycle speed & mode indicators
7	pos	) VERY VERY accurate mouse, 4,000 DPI higher than previous 12,000 DPI 502 model
7	pos	16,000 DPI is insane resolution tbh
7	neg	LEFT MOUSE BUTTON FAILURE
7	pos	) Really miss the cordless days, but this mouse catches every signal & the slightest movements
7	neg	) The RGB is usually not prominent as it's under your hand or in sleep mode
7	neg	) Free wheel mouse mode can be sensitive to twitch gaming
7	pos	I need to be highly accurate in my video, photography & gaming life, all the G502 series mice have enhanced my computer work & play
7	pos	they still work perfectly and remain accurate
7	pos	Seriously this mouse brought my K/D up to new highs, it's so much better than the $100 cordless laser I'm still kind of in shock
7	pos	Using this for websites, photo editing & detail alignments in Adobe is a dream come true
